Client Number	Status	Age	Gender	Dependent	Education	Marital_Status	Income Level	Card Category	Monthly Transaction	Total_Relationship_Count	Months Inactive 12M	Contacts Count 12M	Credit Limit	Total Revolving Bal	Total Open To Buy	Total Trans Amt	Zipcode	Tenure Year
718038483	Existing Customer	42	M	3	Uneducated	Single	$80K - $120K	Blue	35	5	1	4	16054	0	16054	3449	62530	3
718039683	Existing Customer	52	M	2	High School	Single	$40K - $60K	Blue	45	3	1	2	13532	1300	12232	1521	62533	5
718041033	Existing Customer	47	F	4	Graduate	Married	Less than $40K	Blue	36	6	1	4	2178	1455	723	5363	62535	0
718042383	Existing Customer	38	M	1	Uneducated	Unknown	$40K - $60K	Blue	18	3	3	3	3523	1379	2144	15108	62536	2
718043583	Existing Customer	50	M	2	Uneducated	Single	$120K +	Blue	40	5	3	4	21794	1368	20426	15111	62539	8
718045008	Attrited Customer	31	M	0	Post-Graduate	Married	Less than $40K	Blue	21	1	2	2	3768	0	3768	6639	62275	7
718046433	Existing Customer	53	F	2	Graduate	Unknown	Less than $40K	Blue	35	1	2	3	2199	693	1506	7342	62289	8
718048608	Existing Customer	41	F	3	Graduate	Married	Unknown	Blue	33	5	3	0	15292	1325	13967	5120	62288	5
718050033	Existing Customer	54	M	2	College	Married	$120K +	Blue	43	3	2	3	5657	1719	3938	2028	62286	8
718054833	Existing Customer	50	M	2	Unknown	Single	$120K +	Blue	37	6	3	4	15341	1016	14325	2916	62285	3
718056033	Existing Customer	44	F	3	High School	Married	Less than $40K	Blue	34	5	3	2	4135	1606	2529	3334	62281	2
718060983	Existing Customer	49	F	1	Graduate	Married	Less than $40K	Blue	36	2	3	2	3423	2186	1237	14037	62280	9
718063083	Existing Customer	40	M	2	Graduate	Married	$40K - $60K	Blue	31	6	1	2	6500	2025	4475	4738	62278	7
718064283	Existing Customer	46	M	3	Uneducated	Divorced	$60K - $80K	Blue	34	4	3	0	11501	713	10788	1481	61758	9
718065333	Existing Customer	39	F	4	Graduate	Married	$40K - $60K	Blue	29	4	4	3	2385	1971	414	3711	61759	6
718067658	Existing Customer	53	F	3	Unknown	Single	Unknown	Blue	40	6	3	1	3998	0	3998	4223	61774	10
718068933	Existing Customer	36	F	3	Uneducated	Single	Less than $40K	Blue	36	5	2	4	5750	1521	4229	2155	61775	4
718071933	Existing Customer	49	M	1	Graduate	Married	$40K - $60K	Blue	36	4	2	3	4158	1889	2269	15842	61752	10
718072758	Existing Customer	51	M	2	Post-Graduate	Married	$120K +	Blue	45	5	2	1	3173	2517	656	4030	62098	6
718076733	Existing Customer	43	M	1	Graduate	Single	$60K - $80K	Silver	31	4	3	3	25824	1170	24654	3101	62097	6
718078008	Existing Customer	40	M	2	College	Divorced	$60K - $80K	Blue	36	3	2	1	20304	0	20304	7494	62094	4
718080558	Attrited Customer	41	F	4	High School	Single	Less than $40K	Blue	36	6	3	3	4720	0	4720	8798	62095	4
718082208	Existing Customer	37	F	1	Graduate	Married	$40K - $60K	Blue	30	5	3	4	6469	2351	4118	1717	62092	9
718083483	Existing Customer	42	M	3	Uneducated	Unknown	Less than $40K	Blue	35	4	5	0	6218	2134	4084	2086	62093	5
718086783	Existing Customer	50	M	5	Uneducated	Married	$120K +	Blue	36	2	2	1	13478	0	13478	4738	62090	2
718088133	Existing Customer	40	F	3	Unknown	Divorced	Less than $40K	Blue	36	6	1	0	2348	1061	1287	1901	62091	3
718090233	Attrited Customer	56	F	3	Graduate	Single	Unknown	Blue	36	3	3	3	10016	1872	8144	2804	60938	1
718093233	Existing Customer	55	F	2	Post-Graduate	Married	Less than $40K	Blue	45	3	3	3	2163	0	2163	1349	60936	2
718096608	Existing Customer	44	F	4	High School	Single	Less than $40K	Blue	30	1	2	3	6882	1930	4952	13836	60932	9
718100808	Existing Customer	49	F	1	Uneducated	Married	Less than $40K	Gold	37	2	3	1	15987	2065	13922	7395	60931	3
718102758	Existing Customer	61	F	0	High School	Married	Less than $40K	Blue	36	2	1	3	3175	1116	2059	14071	61490	1
718103733	Existing Customer	41	F	4	Unknown	Married	Less than $40K	Blue	31	4	3	4	2934	933	2001	4253	61489	0
718108758	Existing Customer	43	M	2	Unknown	Single	$60K - $80K	Blue	36	3	1	2	6039	1759	4280	4538	61283	3
718109808	Existing Customer	38	M	5	College	Single	$60K - $80K	Blue	25	4	3	0	5597	1118	4479	4599	62362	10
718110858	Attrited Customer	42	M	4	Unknown	Married	$40K - $60K	Blue	36	2	3	5	1606	0	1606	2628	62363	9
718113633	Attrited Customer	41	M	3	Uneducated	Married	$120K +	Blue	36	1	2	3	34516	0	34516	5603	62365	4
718115733	Existing Customer	57	M	1	Graduate	Married	$60K - $80K	Blue	36	4	1	3	9037	1544	7493	1627	62366	3
718116933	Existing Customer	53	F	3	Graduate	Single	Less than $40K	Blue	36	2	3	1	1438.3	630	808.3	4704	62367	5
718121658	Attrited Customer	56	M	1	College	Married	$60K - $80K	Blue	44	5	3	3	1704	0	1704	660	61953	0
718123608	Existing Customer	32	M	2	Graduate	Married	$80K - $120K	Blue	36	2	1	2	25438	1907	23531	16485	61951	9
718127958	Existing Customer	58	M	0	Graduate	Divorced	Unknown	Blue	36	4	2	2	9097	1656	7441	4174	61956	9
718133733	Existing Customer	44	F	4	Post-Graduate	Unknown	Less than $40K	Blue	36	3	1	1	7317	1540	5777	4100	61957	6
718136283	Existing Customer	52	M	2	Uneducated	Single	$80K - $120K	Blue	36	3	1	4	22103	1515	20588	1541	61955	9
718137183	Existing Customer	58	F	1	College	Married	Less than $40K	Blue	38	4	2	3	3331	2251	1080	5379	62601	7
718140783	Existing Customer	47	M	4	Unknown	Married	$60K - $80K	Blue	36	4	5	2	10585	1749	8836	18484	61563	10
718141983	Existing Customer	49	M	0	High School	Single	$80K - $120K	Blue	43	6	3	1	1883	1295	588	5187	61561	4
718142958	Existing Customer	46	M	4	Graduate	Single	$60K - $80K	Blue	27	3	3	2	21839	960	20879	5623	61567	7
718146258	Existing Customer	51	M	2	Graduate	Divorced	$60K - $80K	Blue	41	4	3	1	1959	0	1959	3737	61565	6
718147233	Existing Customer	44	F	1	High School	Married	$40K - $60K	Blue	31	2	2	3	4553	1538	3015	4999	61564	7
718148358	Attrited Customer	50	F	3	High School	Married	Less than $40K	Blue	36	2	3	3	1572	0	1572	2447	61569	8
718152333	Attrited Customer	41	F	3	Doctorate	Single	Unknown	Blue	36	2	3	6	2246	0	2246	3607	61568	7
718153233	Existing Customer	46	M	3	Uneducated	Married	$80K - $120K	Blue	36	3	2	2	23512	1562	21950	3764	62449	4
718160358	Attrited Customer	51	F	1	Graduate	Married	Less than $40K	Blue	39	5	3	2	1438.3	0	1438.3	2492	62448	2
718161708	Existing Customer	46	F	4	Graduate	Married	Less than $40K	Blue	34	5	1	2	7562	1500	6062	14908	62445	2
718162908	Existing Customer	55	M	3	College	Married	$80K - $120K	Blue	42	3	2	1	26101	614	25487	1472	62447	9
718163808	Existing Customer	37	M	1	Graduate	Single	$80K - $120K	Blue	24	6	3	4	11309	0	11309	4809	62446	7
718164858	Existing Customer	42	F	4	Post-Graduate	Married	Less than $40K	Blue	34	5	3	2	2021	1281	740	4642	62441	9
718165758	Existing Customer	41	F	1	Graduate	Married	$40K - $60K	Blue	32	6	3	1	2413	1627	786	5466	62440	6
718170033	Existing Customer	42	F	4	Uneducated	Married	Unknown	Blue	23	4	1	2	8348	0	8348	15905	62443	5
718171308	Attrited Customer	44	F	3	Graduate	Married	Less than $40K	Blue	36	6	3	4	1984	0	1984	2506	62442	7
718174908	Existing Customer	53	F	3	Uneducated	Married	Less than $40K	Blue	36	4	3	2	4224	2417	1807	1458	61369	6
718178583	Existing Customer	42	F	2	Unknown	Married	Less than $40K	Blue	29	3	3	1	4710	1604	3106	4663	61368	8
718181433	Existing Customer	65	F	0	Uneducated	Single	Less than $40K	Blue	56	6	1	2	8705	1453	7252	2688	61367	5
718183833	Existing Customer	30	F	1	Graduate	Single	Less than $40K	Blue	18	4	2	1	1438.3	0	1438.3	4322	61361	2
718184883	Existing Customer	48	F	3	High School	Married	Less than $40K	Blue	34	5	2	2	1495	0	1495	3878	61363	1
718186233	Existing Customer	34	F	3	Uneducated	Single	Less than $40K	Blue	26	4	2	3	3234	971	2263	3989	61362	4
718187508	Existing Customer	53	F	2	Unknown	Married	Unknown	Blue	36	3	4	3	2592	1364	1228	4208	62682	9
718188858	Existing Customer	52	F	0	Graduate	Single	Less than $40K	Blue	36	5	1	2	2537	1097	1440	4964	62058	9
718189908	Existing Customer	44	F	4	Unknown	Unknown	$40K - $60K	Gold	31	2	2	3	23981	2135	21846	7885	62053	2
718191483	Existing Customer	45	M	3	Graduate	Divorced	$60K - $80K	Blue	35	6	3	2	5065	1362	3703	3555	62050	4
718192608	Existing Customer	48	M	3	Uneducated	Married	$60K - $80K	Blue	36	1	1	2	15524	1148	14376	13819	62870	5
718193958	Existing Customer	60	M	0	Uneducated	Single	Less than $40K	Blue	53	5	3	2	2402	1728	674	1650	62871	5
718194858	Existing Customer	48	F	5	Graduate	Single	Unknown	Blue	35	5	2	3	1942	1488	454	4940	62872	1
718197108	Attrited Customer	54	M	2	Graduate	Single	$80K - $120K	Blue	36	5	3	3	12342	0	12342	1430	62874	8
718199133	Existing Customer	57	M	1	High School	Married	$80K - $120K	Blue	36	3	2	2	6543	2260	4283	1519	62875	9
718200333	Existing Customer	47	F	3	Uneducated	Single	Less than $40K	Blue	41	3	3	0	2894	2117	777	7471	62877	4
718201383	Existing Customer	49	M	1	College	Married	$60K - $80K	Blue	43	6	3	4	22036	1560	20476	2139	62259	2
718202658	Existing Customer	47	M	3	Graduate	Unknown	$120K +	Blue	36	3	2	3	9397	795	8602	5265	62254	7
718205283	Existing Customer	48	F	3	College	Single	$40K - $60K	Blue	37	6	3	1	1438.3	0	1438.3	5035	62255	8
718206783	Existing Customer	45	F	4	Unknown	Single	Less than $40K	Gold	36	6	1	3	15987	1648	14339	1436	62257	1
718208358	Existing Customer	43	M	5	Uneducated	Married	$120K +	Blue	31	4	3	4	34516	830	33686	3789	62250	3
718211208	Existing Customer	39	M	3	High School	Married	$120K +	Blue	36	6	3	2	3281	1682	1599	4109	62253	9
718212633	Existing Customer	45	F	4	High School	Married	$40K - $60K	Blue	36	5	2	1	2948	2232	716	3635	61750	1
718215033	Existing Customer	54	F	3	Unknown	Married	Less than $40K	Blue	36	6	2	4	2556	2260	296	1401	61751	6
718216008	Existing Customer	48	M	3	Graduate	Married	$60K - $80K	Blue	38	5	2	3	16920	2157	14763	3275	61754	1
718220358	Attrited Customer	58	M	1	Graduate	Single	$120K +	Blue	36	2	3	4	28618	0	28618	1712	61755	8
718225683	Existing Customer	56	M	1	Graduate	Single	$80K - $120K	Silver	49	5	2	2	34516	1091	33425	15274	61756	8
718227033	Existing Customer	38	F	4	Graduate	Married	Less than $40K	Blue	30	3	1	2	5951	1702	4249	2565	62534	3
718229133	Existing Customer	51	M	2	College	Married	$120K +	Blue	41	6	2	4	23742	0	23742	3783	62538	10
718230933	Attrited Customer	45	M	4	Graduate	Single	Less than $40K	Blue	36	5	2	3	1438.3	1060	378.3	1253	62939	7
718242333	Existing Customer	36	M	4	Graduate	Single	$80K - $120K	Blue	36	5	3	2	10216	1822	8394	2568	62934	2
718243533	Existing Customer	48	M	3	Post-Graduate	Divorced	$60K - $80K	Blue	36	3	3	4	2648	0	2648	3880	62930	7
718244958	Existing Customer	36	F	2	Graduate	Married	Unknown	Blue	26	5	2	2	8621	1251	7370	1989	62933	4
718246458	Existing Customer	53	M	3	Graduate	Single	$80K - $120K	Blue	45	2	1	2	24262	1984	22278	8241	62932	5
718250883	Attrited Customer	59	F	2	High School	Married	Unknown	Blue	51	3	3	3	3875	1397	2478	2312	62689	4
718252533	Attrited Customer	30	F	0	Graduate	Divorced	Less than $40K	Blue	18	5	1	1	4203	996	3207	7292	62688	3
718256658	Existing Customer	45	F	3	Uneducated	Married	Less than $40K	Blue	38	6	5	1	2728	0	2728	4554	62681	3
718259433	Attrited Customer	45	F	3	High School	Married	Unknown	Blue	40	1	4	2	8383	0	8383	5460	62685	3
718263108	Attrited Customer	44	F	3	Unknown	Divorced	Less than $40K	Blue	32	3	3	2	1693	1457	236	2829	62684	5
718264233	Existing Customer	29	M	0	High School	Married	$40K - $60K	Blue	13	4	1	4	1458	671	787	2449	62284	4
718265658	Existing Customer	47	F	4	Uneducated	Single	Less than $40K	Blue	36	3	1	2	2092	1499	593	4130	61857	7
718267233	Existing Customer	50	M	1	Graduate	Married	$120K +	Silver	38	4	3	3	34516	1915	32601	3828	61852	9
718270833	Existing Customer	48	F	3	Post-Graduate	Married	Less than $40K	Silver	40	6	3	3	13991	1580	12411	4100	61851	4
718271958	Existing Customer	54	M	2	Uneducated	Married	$60K - $80K	Blue	34	5	1	4	6401	1471	4930	4465	61850	7
718274283	Existing Customer	35	M	3	College	Single	$60K - $80K	Blue	36	5	1	3	2780	0	2780	2469	61858	7
718276758	Existing Customer	52	F	1	Graduate	Single	$40K - $60K	Blue	40	2	1	2	4705	890	3815	8226	62764	3
718279008	Attrited Customer	44	M	3	High School	Single	$60K - $80K	Silver	36	5	2	3	25276	0	25276	2282	62761	7
718279983	Existing Customer	49	F	1	College	Married	Unknown	Blue	36	1	3	2	5039	2489	2550	4770	61448	1
718281408	Existing Customer	36	F	2	Unknown	Married	$40K - $60K	Blue	25	3	1	2	4789	1257	3532	1534	61449	3
718282983	Existing Customer	60	M	0	College	Unknown	Less than $40K	Blue	47	6	3	3	3076	2257	819	4522	61447	10
718284408	Existing Customer	43	F	3	Unknown	Married	Less than $40K	Blue	30	5	2	2	2415	1452	963	3970	61440	8
718285308	Existing Customer	44	F	1	Unknown	Single	Less than $40K	Blue	31	6	3	1	1438.3	0	1438.3	3576	61442	5
718286658	Existing Customer	42	M	3	Graduate	Single	$60K - $80K	Silver	22	5	3	1	25293	1140	24153	4059	61443	6
718288833	Existing Customer	31	M	1	Unknown	Married	$40K - $60K	Blue	36	1	3	3	5590	875	4715	14643	62230	5
718291233	Existing Customer	46	M	4	Graduate	Married	$80K - $120K	Blue	33	5	1	3	16227	917	15310	4314	62237	4
718292283	Existing Customer	52	F	1	High School	Single	$40K - $60K	Blue	42	1	3	1	3416	1970	1446	8254	62234	1
718296558	Attrited Customer	44	F	4	Unknown	Married	$40K - $60K	Blue	31	4	3	5	1691	1327	364	2345	62568	9
718297683	Attrited Customer	59	F	1	High School	Single	Less than $40K	Blue	50	1	0	3	4085	0	4085	7597	62567	2
718298733	Existing Customer	40	M	4	High School	Single	$80K - $120K	Blue	29	3	3	2	12978	0	12978	14134	62565	8
718299933	Existing Customer	42	M	3	High School	Married	$40K - $60K	Blue	30	3	3	4	4333	739	3594	15903	62563	3
718301508	Existing Customer	41	M	2	High School	Married	$60K - $80K	Blue	30	6	3	2	9428	1765	7663	1457	62561	3
718303683	Attrited Customer	36	F	2	Graduate	Married	Less than $40K	Blue	23	4	2	2	1666	813	853	2622	62067	1
718304583	Attrited Customer	43	M	2	Unknown	Married	$60K - $80K	Gold	33	1	3	2	34516	1085	33431	4805	62063	1
718306308	Existing Customer	48	M	4	Graduate	Married	$80K - $120K	Blue	36	1	2	3	27984	1793	26191	8147	62062	0
718307433	Existing Customer	50	F	0	Graduate	Single	Less than $40K	Blue	36	5	1	4	7238	2111	5127	2025	62061	10
718308558	Existing Customer	49	F	4	Graduate	Divorced	Less than $40K	Blue	37	2	6	1	1838	1155	683	7688	62060	5
718310733	Existing Customer	50	M	2	Unknown	Divorced	$80K - $120K	Blue	36	4	3	1	20614	0	20614	1922	60964	7
718311933	Attrited Customer	53	F	4	Doctorate	Married	Less than $40K	Blue	37	6	2	2	3719	2517	1202	2587	60960	2
718316058	Existing Customer	51	M	1	Uneducated	Married	$60K - $80K	Blue	38	3	3	1	13731	1375	12356	14826	60963	5
718317258	Existing Customer	54	F	3	Uneducated	Single	Less than $40K	Blue	47	3	3	3	7477	1960	5517	3618	60968	3
718318383	Existing Customer	49	M	1	High School	Unknown	$60K - $80K	Blue	36	6	3	4	2645	1499	1146	4251	62052	9
718320933	Existing Customer	47	M	3	Uneducated	Married	$60K - $80K	Blue	36	2	3	1	11919	2347	9572	8257	62051	9
718324983	Existing Customer	60	F	0	College	Married	Less than $40K	Blue	49	5	3	3	1634	1155	479	4522	61277	5
718325883	Existing Customer	39	M	2	Uneducated	Single	$40K - $60K	Blue	32	6	3	2	7723	1902	5821	1241	61272	7
718328283	Existing Customer	40	F	4	High School	Single	Less than $40K	Blue	36	2	1	3	3961	1531	2430	12631	62351	9
718329183	Existing Customer	57	F	3	Graduate	Divorced	$40K - $60K	Blue	47	1	3	2	4262	2517	1745	3943	62353	8
718333983	Attrited Customer	57	M	4	Unknown	Divorced	$120K +	Blue	36	2	2	3	13694	2219	11475	9040	62355	1
718337733	Existing Customer	50	F	2	Graduate	Married	Unknown	Gold	40	2	1	1	34516	1826	32690	14994	62354	1
718338708	Existing Customer	49	F	1	Graduate	Married	$40K - $60K	Blue	38	5	2	2	5481	0	5481	3380	62357	1
718342158	Attrited Customer	38	F	4	Graduate	Single	Less than $40K	Blue	26	2	2	2	4391	1933	2458	1849	62356	1
718343058	Existing Customer	52	F	2	High School	Divorced	Less than $40K	Blue	40	1	2	3	5240	2517	2723	14161	62358	2
718344033	Existing Customer	47	M	2	College	Married	$120K +	Blue	35	4	3	2	3636	1010	2626	1564	61920	3
718345233	Existing Customer	45	F	2	Graduate	Unknown	Less than $40K	Blue	35	6	3	3	3240	2517	723	1904	61925	9
718346658	Existing Customer	50	F	2	Graduate	Married	Less than $40K	Blue	37	3	2	4	1963	1357	606	1861	61924	8
718349058	Existing Customer	49	M	3	High School	Married	$80K - $120K	Blue	39	3	3	2	29659	1143	28516	1193	61929	1
718350033	Existing Customer	50	M	3	College	Single	$40K - $60K	Blue	36	3	2	2	3069	1881	1188	2909	61928	5
718352358	Attrited Customer	49	F	3	Post-Graduate	Married	Less than $40K	Blue	35	3	3	2	1914	0	1914	2687	62910	5
718353633	Attrited Customer	50	M	1	Post-Graduate	Unknown	$80K - $120K	Gold	36	2	3	2	34516	0	34516	5547	60930	7
718354683	Existing Customer	59	F	0	Graduate	Single	$40K - $60K	Silver	45	6	3	3	21358	1225	20133	3646	62841	4
718357458	Existing Customer	48	M	5	Unknown	Single	$60K - $80K	Blue	36	2	3	0	3862	0	3862	15282	62843	1
718358808	Existing Customer	57	F	2	High School	Divorced	Less than $40K	Blue	50	5	3	5	3276	0	3276	3758	62842	6
718360083	Existing Customer	39	M	4	Uneducated	Married	$120K +	Blue	36	6	3	2	25790	1798	23992	2443	62844	9
718361583	Existing Customer	56	F	2	Uneducated	Married	Unknown	Blue	36	3	3	5	8242	0	8242	1559	62846	6
718362783	Attrited Customer	35	M	2	Graduate	Married	$80K - $120K	Blue	27	3	2	3	12643	0	12643	787	62849	6
718364283	Existing Customer	43	M	3	Graduate	Single	$60K - $80K	Blue	30	3	2	4	19711	0	19711	3602	62265	9
718366983	Existing Customer	40	M	3	Graduate	Married	$80K - $120K	Blue	31	6	2	4	18584	2446	16138	3504	62266	8
718368333	Existing Customer	26	M	0	College	Unknown	Less than $40K	Blue	13	6	1	2	5713	789	4924	3323	62261	8
718370733	Existing Customer	48	F	2	Uneducated	Married	Unknown	Blue	35	2	3	3	6074	0	6074	4504	62260	4
718372458	Existing Customer	42	M	2	Graduate	Unknown	$40K - $60K	Blue	30	3	2	5	3735	1723	2012	14501	62263	1
718373658	Existing Customer	41	M	3	College	Single	$60K - $80K	Blue	28	6	3	0	5841	2463	3378	3817	62262	0
718376583	Attrited Customer	52	M	2	Graduate	Divorced	$80K - $120K	Silver	44	4	3	2	34516	751	33765	5806	61761	7
718379358	Existing Customer	39	M	1	Unknown	Single	$80K - $120K	Silver	28	3	1	3	34516	2017	32499	8453	61760	3
718383183	Existing Customer	51	F	3	High School	Married	Less than $40K	Blue	39	2	1	1	3803	2437	1366	14397	61764	3
718384233	Existing Customer	52	M	5	Doctorate	Single	$40K - $60K	Silver	39	4	2	2	17835	868	16967	4258	61769	8
718388733	Existing Customer	38	F	1	College	Unknown	Less than $40K	Blue	32	2	3	3	2609	1259	1350	8677	62610	4
718394658	Existing Customer	31	F	0	Graduate	Single	Less than $40K	Blue	22	3	1	1	4254	2464	1790	2366	62650	3
718396533	Existing Customer	47	M	3	College	Single	$80K - $120K	Blue	38	5	3	3	8185	1556	6629	4527	62655	1
718397658	Existing Customer	60	F	0	Unknown	Single	$40K - $60K	Blue	36	6	3	2	4115	1231	2884	3627	62656	1
718399233	Existing Customer	43	F	4	College	Single	$40K - $60K	Blue	36	6	3	1	1531	0	1531	4152	61530	1
718403358	Existing Customer	49	F	2	High School	Divorced	$40K - $60K	Blue	33	4	2	1	7231	2517	4714	3912	61531	2
718404783	Attrited Customer	59	F	0	Unknown	Married	Unknown	Blue	49	5	2	4	6996	0	6996	2384	61532	5
718410258	Existing Customer	37	M	3	High School	Unknown	$80K - $120K	Blue	28	5	4	4	13441	0	13441	4207	61533	9
718414008	Existing Customer	50	M	2	Graduate	Single	$120K +	Blue	36	3	2	2	34516	1023	33493	1064	61534	2
718415133	Existing Customer	38	M	1	Uneducated	Married	$80K - $120K	Blue	25	6	1	3	11352	0	11352	1601	61535	6
718416858	Existing Customer	42	M	5	Graduate	Married	$60K - $80K	Blue	34	3	3	3	10607	2517	8090	1903	61536	10
718418958	Attrited Customer	30	M	1	Post-Graduate	Divorced	Less than $40K	Blue	36	6	2	4	5061	0	5061	1309	61537	9
718420308	Existing Customer	50	F	2	High School	Married	Less than $40K	Blue	36	3	1	3	3397	1658	1739	4208	61539	6
718421808	Existing Customer	56	F	2	Uneducated	Married	Unknown	Blue	43	6	3	2	3068	1765	1303	4611	62413	6
718423533	Existing Customer	57	M	3	College	Unknown	$60K - $80K	Blue	50	6	3	4	16791	1181	15610	2983	62410	8
718425333	Existing Customer	45	M	4	Graduate	Married	$80K - $120K	Blue	32	1	1	3	26819	1657	25162	14450	62411	6
718426533	Existing Customer	42	M	4	Uneducated	Divorced	$60K - $80K	Blue	32	4	1	2	5504	0	5504	1364	62417	1
718428033	Existing Customer	55	F	4	Graduate	Single	Less than $40K	Blue	41	6	2	1	4430	1543	2887	3395	62414	6
718431258	Existing Customer	41	M	4	High School	Single	$60K - $80K	Blue	28	4	3	3	3126	1503	1623	3662	62418	2
718433508	Existing Customer	40	F	3	Uneducated	Unknown	Less than $40K	Blue	30	2	5	2	2481	2119	362	8097	62419	9
718435158	Existing Customer	50	M	3	High School	Married	$120K +	Blue	40	5	1	4	34516	0	34516	1930	61330	9
718436133	Existing Customer	44	F	2	Graduate	Single	Less than $40K	Blue	36	5	2	3	2368	1244	1124	4289	61336	6
718437033	Attrited Customer	46	M	2	Uneducated	Unknown	$60K - $80K	Blue	30	4	3	2	1438.3	681	757.3	2527	61337	1
718441308	Existing Customer	41	M	2	Graduate	Single	$60K - $80K	Blue	31	3	1	3	8228	1935	6293	4933	61334	9
718444233	Existing Customer	45	M	3	Graduate	Married	$60K - $80K	Blue	25	3	3	2	9791	1311	8480	1649	61335	7
718445883	Existing Customer	61	F	1	Uneducated	Married	Less than $40K	Blue	36	3	2	4	6859	2489	4370	1617	61338	1
